CRSE_GRADE_OFF,percentile in HS class,ACTMATH,ACTCOMP,YEARS_OF_STUDY_ACT,ALG SCORE,MBSC SCORE,TRIG SCORE,self reported math GPA,placement
A,0.94,24,23,8,570,570,450,4,MATH D
A,0.98,25,24,8,730,600,500,4,MATH D
AB,0.88,27,26,8,660,670,550,4,MATH D
C,,24,22,8,630,630,570,3.5,MATH E
B,0.87,27,26,4,600,630,630,4,MATH D
A,0.98,25,27,8,440,630,550,4,MATH C
B,0.88,28,25,5,600,720,520,3.7,MATH D
AB,0.8,27,25,6,640,600,660,4,MATH E
C,0.94,18,23,6,470,520,450,4, 
AB,0.9,25,24,8,570,670,600,4,MATH D
AB,0.71,26,23,8,610,670,570,3.8,MATH E
BC,,23,24,8,380,550,430,2.3, 
B,,21,26,6,520,430,450,2.3,MATH C
C,0.76,26,23,0,460,480,410,3.7,MATH B
BC,0.87,24,23,8,380,480,380,4,MATH B
BC,0.92,23,23,6,440,500,380,,MATH B
A,,27,24,5,580,760,470,4,MATH D
A,0.97,23,25,6,450,570,480,4, 
AB,0.88,26,24,5,580,670,550,4,MATH D
BC,,19,24,6,430,530,420,2.7,MATH B
C,0.67,24,26,7,640,570,520,3.2,MATH D
AB,0.8,27,28,5,560,570,430,4,MATH D
C,0.75,21,20,6,510,570,460,3.7,MATH D
F,0.77,24,22,8,490,480,450,3.8,MATH C
AB,0.9,22,21,6,470,480,450,4, 
F,0.47,17,18,6,450,290,180,,MATH A
C,0.31,19,21,5,410,340,410,2.7,MATH A
BC,0.63,25,26,8,490,600,500,, 
D,0.66,20,24,7,420,520,380,,MATH B
A,0.98,26,30,5,510,640,500,4,MATH D
AB,0.81,24,25,0,360,500,450,,MATH B
A,0.99,23,26,6,610,650,560,4,MATH E
C,,27,31,8,530,670,550,4,MATH D
A,0.9,28,28,8,640,670,600,4,MATH E
C,0.75,26,24,8,500,570,480,3.8,MATH C
A,0.94,21,22,6,250,380,250,4,MATH B
B,,19,19,6,, , ,2.2, 
A,0.94,26,31,8,710,790,700,4,MATH E
D,,23,21,0,, , ,3.7, 
C,,23,21,0,, , ,3.7, 
BC,0.77,24,23,8,450,500,480,4,MATH B
AB,0.79,19,22,5,420,460,380,3.3,MATH B
A,0.98,25,25,8,540,550,520,4, 
AB,,27,23,8,610,630,660,3.8,MATH E
BC,0.81,26,24,8,560,580,430,4,MATH D
D,0.63,25,28,7,520,630,450,3.8,MATH D
B,0.64,23,24,8,530,460,600,3.2,MATH D
B,,32,28,8,, , ,3.5, 
B,0.8,25,24,8,520,520,520,3.8, 
AB,0.9,25,24,8,450,600,570,4, 
A,,28,29,8,610,720,570,,MATH E
A,0.94,26,25,8,610,670,660,4, 
B,0.96,27,23,8,470,600,500,4,MATH C
A,0.82,21,21,8,490,410,500,3.7, 
B,,25,26,4,710,790,660,2.8,MATH E
A,0.78,21,20,6,490,530,460,3.5,MATH C
B,0.91,23,26,6,360,430,480,3.5,MATH B
AB,0.85,26,25,6,660,600,570,3.4, 
C,0.69,23,20,6,450,430,430,3.3,MATH B
AB,0.9,27,26,5,520,630,520,4,MATH D
A,,21,22,6,570,570,480,4,MATH D
A,0.87,27,25,6,580,680,600,3.4, 
A,0.93,26,26,8,, , ,4, 
A,,25,25,8,560,670,570,3,MATH D
B,0.61,25,24,8,520,500,550,2.7,MATH C
BC,0.66,26,27,6,490,670,480,3.8, 
A,0.84,26,24,7,580,630,550,4,MATH D
C,0.59,24,25,8,390,500,400,3.7,MATH B
B,0.74,18,25,4,530,560,410,3,MATH C
B,0.88,25,26,8,570,600,570,3.7,MATH D
C,0.8,23,25,8,530,670,430,2.7,MATH D
B,,24,25,8,440,480,430,3.8,MATH B
AB,,23,29,8,470,480,380,,MATH B
C,,22,19,8,, , ,2.3, 
B,0.73,27,24,7,540,630,660,4,MATH D
D,0.65,20,22,6,420,410,250,3,MATH B
A,0.75,27,28,8,680,720,740,3.6,MATH E
A,0.96,27,24,6,640,600,820,4,MATH E
A,,25,24,6,770,790,740,4, 
BC,0.78,25,20,6,640,630,520,3.3,MATH D
C,0.81,23,23,6,440,520,550,3.3, 
A,0.92,18,22,5,560,550,630,4,MATH C
C,0.66,17,21,8,370,320,190,2, 
AB,0.76,25,24,8,480,570,450,3.8,MATH C
B,0.91,24,22,8,480,570,520,3.8,MATH C
B,,27,28,6,360,550,520,3.8,MATH B
AB,0.92,25,28,6,480,570,570,3.8, 
C,0.67,26,28,6,500,630,520,3,MATH C
A,0.98,27,26,5,600,570,500,4,MATH D
A,0.92,22,25,8,450,460,480,3.7, 
A,0.61,27,23,8,530,500,500,, 
B,0.94,27,27,8,580,630,660,4,MATH D
A,,28,23,8,530,600,600,3.8,MATH D
D,0.75,23,24,8,450,570,500,3.4,MATH C
B,0.82,26,27,4,570,630,600,4,MATH D
A,0.91,24,25,8,630,600,520,3.8,MATH D
D,0.76,24,28,8,290,480,450,3,MATH B
AB,,25,24,8,630,630,740,3.2,MATH E
D,0.69,25,22,6,410,410,480,3.3, 
B,0.69,25,22,6,410,410,480,3.3, 
C,0.78,24,22,4,450,630,430,3.6,MATH C
A,0.97,25,26,7,520,550,570,4,MATH D
A,0.98,25,27,8,490,720,450,4,MATH C
D,0.71,23,23,8,420,360,300,3.3,MATH B
C,0.89,20,20,6,470,520,480,3,MATH B
F,0.63,27,25,7,, , ,4, 
BC,0.7,25,25,8,490,670,480,4,MATH C
A,0.82,23,21,6,450,550,500,,MATH C
AB,0.89,22,22,8,570,560,600,4,MATH D
A,0.71,27,27,6,450,480,450,4,MATH B
AB,0.97,28,25,8,540,500,380,4, 
AB,0.88,30,29,5,630,850,740,3.3,MATH E
C,0.85,24,22,6,560,500,600,3.8,MATH D
B,,24,22,5,610,570,430,4,MATH D
B,,27,25,6,600,600,520,3,MATH D
A,0.82,20,23,4,440,410,400,3.7,MATH B
A,0.81,24,25,6,480,520,500,3.8,MATH C
D,0.64,22,22,8,390,430,450,4,MATH B
C,0.64,22,22,8,390,430,450,4,MATH B
B,0.89,25,23,0,560,720,480,3,MATH D
C,0.75,26,23,5,500,630,570,3.7, 
B,,26,28,8,600,550,570,3.3,MATH D
C,0.69,24,23,6,520,570,600,2.7,MATH D
B,0.94,25,22,6,540,460,550,4,MATH D
C,0.72,22,24,8,440,520,340,3.5,MATH C
B,0.69,19,22,6,470,460,430,,MATH B
C,0.92,23,28,8,570,790,520,4,MATH D
C,0.73,24,22,6,560,520,430,3.2,MATH D
C,0.88,31,32,6,680,720,820,3.8,MATH E
C,0.85,26,25,8,600,480,600,4,MATH D
B,,23,24,8,450,460,300,3.7,MATH B
A,,23,25,7,440,520,600,3,MATH C
C,,22,23,8,440,430,340,3,MATH B
B,0.76,22,23,8,470,550,300,3.8, 
B,0.83,21,25,8,340,380,250,3,MATH B
B,0.88,25,25,8,450,570,570,3.8,MATH C
C,,21,21,7,450,480,340,3.3,MATH B
BC,0.83,21,22,8,440,480,400,4,MATH B
B,0.76,23,21,8,580,630,700,3.3,MATH D
C,,24,28,6,610,600,700,3,MATH E
D,0.81,24,27,8,540,550,550,2.7,MATH D
BC,,26,25,6,640,790,740,3.8, 
D,0.85,26,25,5,560,670,550,4,MATH D
C,0.95,23,25,6,440,460,430,4,MATH B
BC,0.69,25,23,8,560,520,520,3.8,MATH D
D,0.66,19,17,6,580,500,380,3.3,MATH B
C,0.75,22,22,8,450,430,430,3.3, 
A,0.87,24,23,8,510,650,520,4,MATH D
B,0.74,23,21,6,560,480,500,4,MATH D
B,0.87,24,24,7,480,600,520,3.7,MATH C
B,,29,27,6,610,630,600,3.3,MATH E
B,0.87,27,22,7,560,720,660,3.8,MATH D
B,,26,24,6,500,520,500,4,MATH C
C,,21,20,5,470,470,410,3.3,MATH B
BC,,25,28,0,600,520,520,4,MATH D
A,,29,26,8,680,600,740,4,MATH E
A,,20,24,0,440,450,450,4,MATH B
BC,,23,20,8,470,550,500,3.2, 
B,,24,27,8,530,600,570,3.8,MATH D
B,,25,28,6,470,570,450,3.3,MATH C
BC,0.91,17,20,6,440,410,450,3.7,MATH B
A,0.96,32,28,6,770,720,700,4,MATH E
B,0.91,27,23,8,500,570,630,4,MATH C
A,0.91,30,25,8,680,630,740,4,MATH E
D,0.73,32,30,8,810,670,740,2.8,MATH E
C,,25,25,6,560,570,660,4,MATH D
B,0.98,30,28,8,640,850,740,4,MATH E
A,0.99,34,34,8,730,790,820,4,MATH E
B,,28,24,6,810,670,660,4,MATH E
A,0.98,23,28,7,600,570,700,4, 
C,0.66,28,23,8,660,720,700,4,MATH E
D,0.74,23,25,0,470,520,500,2.3,MATH C
B,0.72,24,24,8,540,600,570,4,MATH D
B,0.89,25,23,0,530,630,550,3.8,MATH D
AB,0.85,25,26,8,660,600,550,3.5, 
BC,,23,22,0,310,460,450,3.8,MATH B
BC,,25,24,8,540,480,520,3.4,MATH D
AB,,28,29,8,680,720,520,3.8,MATH D
AB,0.99,25,28,6,660,670,500,4,MATH D
B,0.9,28,27,8,660,850,700,4,MATH E
B,,27,23,6,530,670,450,3.4,MATH D
B,0.69,26,25,5,600,720,660,3.7,MATH D
A,0.9,25,24,6,610,790,700,,MATH E
BC,,23,24,8,450,500,400,3,MATH B
C,0.73,23,23,5,520,540,600,3.3,MATH D
B,0.94,26,28,8,500,630,520,4,MATH C
A,0.95,27,26,8,570,600,570,3.4,MATH D
A,0.91,29,29,8,580,520,550,4,MATH D
BC,0.99,26,25,8,450,630,400,4,MATH C
A,,23,26,8,, , ,, 
B,0.8,25,23,8,560,600,520,3.6,MATH D
B,0.82,26,23,4,520,500,450,3.7,MATH C
AB,0.84,25,25,8,580,600,570,3.8,MATH D
D,0.87,17,20,7,420,420,460,3.5, 
F,0.64,24,23,8,540,640,420,3, 
C,,21,20,8,420,520,380,2.8,MATH B
A,0.83,24,22,7,410,520,430,3.4,MATH B
A,0.92,24,21,5,420,460,400,4,MATH B
F,0.72,22,23,8,440,460,340,3,MATH B
C,0.48,24,20,4,420,500,550,2.7,MATH B
C,0.95,26,26,6,710,630,700,4,MATH E
A,0.88,25,23,8,600,670,700,3.8,MATH D
B,0.83,23,24,6,440,570,520,4,MATH C
C,0.81,24,28,7,390,520,550,3.5, 
D,0.75,26,24,8,500,460,500,2.8, 
AB,,30,29,8,730,790,740,4,MATH E
AB,0.67,26,23,6,680,670,660,4,MATH E
AB,0.84,26,25,6,470,600,700,4,MATH C
BC,0.78,26,24,6,610,600,520,3.6, 
B,0.84,24,24,6,540,720,500,3.6, 
AB,0.66,23,24,5,420,480,500,4,MATH B
B,0.82,24,21,8,540,720,500,3.5,MATH D
A,0.98,27,27,8,540,630,740,4,MATH D
A,0.98,29,27,8,850,790,700,4,MATH E
B,0.76,22,22,8,410,520,500,3.3,MATH B
B,,26,23,8,560,600,550,4,MATH D
BC,0.63,22,20,4,380,410,480,2.7,MATH B
C,0.7,25,28,7,560,570,480,3.7,MATH D
A,0.76,26,27,8,570,600,600,3.4,MATH D
D,0.8,25,26,6,360,520,340,4,MATH B
AB,0.74,32,25,5,560,630,660,4, 
A,0.96,28,25,7,660,670,700,4,MATH E
B,0.92,26,23,8,680,630,520,3.5,MATH D
C,0.74,24,24,8,490,550,570,,MATH C
F,0.87,25,25,8,610,670,520,3.8,MATH D
B,0.89,25,23,5,500,630,480,4,MATH C
B,0.88,25,23,8,530,600,450,,MATH D
A,0.65,26,25,6,500,550,450,3.4,MATH C
A,0.97,26,27,8,680,670,570,4,MATH E
B,,18,17,5,, , ,3, 
B,0.94,28,26,6,580,570,660,4, 
B,0.69,29,25,8,630,720,570,3.3,MATH E
A,0.93,24,26,6,420,520,600,4,MATH B
A,0.79,25,22,5,600,570,570,4,MATH D
B,0.85,29,30,8,660,790,600,4,MATH E
A,0.98,26,27,8,, , ,4, 
A,0.91,31,28,6,, , ,3.8, 
AB,0.87,26,23,8,570,630,430,4,MATH D
F,0.83,24,30,6,440,460,380,3, 
A,0.91,26,28,8,600,570,630,3.5,MATH D
B,,25,25,0,450,720,550,,MATH C
AB,0.79,25,23,8,480,500,450,4,MATH C
A,,28,28,8,730,720,820,3.8,MATH E
C,0.65,22,20,6,410,480,340,,MATH B
BC,0.7,25,24,6,480,570,550,3.4,MATH C
AB,0.98,27,23,8,610,630,660,4,MATH E
A,0.7,24,28,8,540,520,570,3,MATH D
AB,0.98,29,29,8,630,720,570,4,MATH E
A,0.98,29,27,8,580,600,570,4,MATH D
C,,26,28,8,530,550,660,2.8, 
B,0.81,23,20,6,490,550,450,3,MATH C
AB,0.95,30,33,8,710,670,700,4,MATH E
BC,0.76,24,24,8,470,480,550,3,MATH B
AB,0.89,23,22,8,390,520,400,3.8,MATH B
A,0.84,27,25,8,500,570,500,4,MATH C
F,0.97,23,24,6,410,460,340,4,MATH B
B,0.86,26,25,8,500,500,480,4, 
B,0.61,22,23,8,420,480,430,3.3,MATH B
AB,0.9,28,24,6,630,850,660,4,MATH E
AB,,23,26,8,, , ,4, 
AB,,29,29,8,850,720,740,4,MATH E
B,0.62,22,20,8,380,470,450,3,MATH B
B,,22,23,6,470,460,430,3.6, 
A,,26,23,5,560,480,480,3.8,MATH D
B,0.93,28,23,4,570,600,660,4,MATH D
C,,24,22,8,470,520,500,4,MATH C
C,0.81,26,26,8,560,670,570,4,MATH D
A,0.83,27,25,5,610,670,700,4,MATH E
B,0.82,22,22,8,450,570,430,3,MATH C
A,,23,23,6,450,610,360,3.7,MATH C
B,0.77,25,23,8,580,720,520,4,MATH D
B,0.86,24,20,8,530,550,520,3.8,MATH D
B,0.79,21,22,6,390,410,250,3, 
BC,0.79,24,22,8,480,720,500,4,MATH C
B,,25,24,8,500,720,550,4,MATH C
AB,0.77,23,24,8,450,520,430,3.5,MATH C
A,0.99,30,28,8,640,790,550,4,MATH D
AB,0.9,27,26,5,600,600,600,4,MATH D
A,,28,25,8,530,670,570,4,MATH D
C,0.59,22,25,7,470,430,430,3.7,MATH B
B,0.86,28,29,8,680,570,700,4,MATH E
AB,0.74,27,26,8,560,720,630,3.3,MATH D
A,0.85,27,28,8,570,630,660,4,MATH D
BC,0.77,24,23,5,520,670,480,3.3,MATH D
C,,29,24,8,630,670,660,3.5,MATH E
AB,0.77,30,29,6,, , ,4, 
AB,0.81,24,24,8,570,570,520,4,MATH D
C,0.82,24,26,8,540,550,600,4,MATH D
AB,,25,25,8,610,520,630,4,MATH E
BC,0.59,26,26,6,420,460,340,3,MATH B
A,0.97,28,24,5,680,670,520,4,MATH D
AB,0.93,27,23,8,640,790,820,4,MATH E
B,0.76,24,23,8,410,570,380,4, 
BC,0.83,19,22,5,410,430,380,4,MATH B
B,0.81,23,25,8,710,850,850,4,MATH E
AB,0.72,25,22,5,470,570,400,3.8,MATH C
A,0.99,30,30,0,730,720,740,4,MATH E
C,0.44,21,20,7,360,460,340,3.2, 
D,0.83,25,26,8,440,520,450,3,MATH C
AB,0.95,24,24,5,500,500,430,4,MATH C
AB,0.82,24,28,8,490,550,570,3.5,MATH C
C,0.84,24,24,5,470,520,450,4,MATH C
BC,0.87,26,26,8,450,550,500,4,MATH C
AB,0.84,26,24,5,490,630,520,4,MATH C
C,,25,24,6,420,500,380,2.3,MATH B
B,0.88,24,23,6,500,460,500,4,MATH C
AB,,25,24,5,470,520,450,3.3, 
B,0.7,26,23,6,470,520,430,4,MATH C
A,0.85,25,25,8,520,500,430,4,MATH C
B,0.84,19,21,6,480,480,480,3.3,MATH B
A,0.75,29,30,5,630,850,850,3.5,MATH E
C,,21,28,8,390,410,450,3.3,MATH B
A,,30,29,8,640,720,700,4,MATH E
D,0.75,25,21,8,470,600,450,4,MATH C
B,0.87,24,23,8,540,570,550,3.5,MATH D
C,0.83,24,24,6,420,460,500,3,MATH B
BC,0.7,21,23,8,540,720,660,4,MATH D
B,0.85,26,25,6,660,600,480,3.7,MATH D
B,0.77,23,23,8,520,520,570,3.8, 
B,0.93,25,23,6,530,600,570,3.8,MATH D
B,0.73,19,20,8,410,460,430,3.7,MATH B
A,,24,30,8,500,550,660,4,MATH C
A,,28,27,8,560,630,550,3.6, 
AB,0.88,25,22,8,570,520,340,3.3,MATH D
B,0.73,24,26,8,490,480,500,3.3,MATH C
B,0.76,28,26,8,600,630,500,3.6,MATH D
A,0.76,32,24,8,730,720,740,3.4,MATH E
B,,19,20,8,, , ,4, 
D,,26,26,5,540,460,480,4,MATH D
B,0.8,26,22,8,490,550,550,4,MATH C
C,0.86,19,19,8,440,480,430,3.5,MATH B
B,0.85,24,23,6,500,570,340,4,MATH C
AB,0.88,26,22,8,570,720,450,3.8,MATH D
B,0.76,27,27,6,480,600,500,3,MATH C
A,0.93,25,21,7,660,570,550,4,MATH D
C,0.85,23,22,6,460,540,380,4,MATH C
AB,0.9,27,26,8,660,670,700,3.7,MATH E
AB,,22,23,8,340,550,520,3.3,MATH B
AB,0.88,21,22,8,360,460,400,4,MATH B
BC,,23,23,7,450,460,430,,MATH B
B,0.86,22,21,6,450,500,430,3.7, 
A,0.94,23,25,6,610,630,520,4, 
AB,0.71,26,23,8,640,670,570,3,MATH E
B,0.93,23,23,6,580,670,570,3.7,MATH D
A,0.96,28,26,8,680,670,630,4,MATH E
D,0.78,23,21,7,390,410,340,3,MATH B
B,,24,22,6,530,500,500,3.8,MATH D
BC,0.82,21,23,8,380,600,450,3.5,MATH B
AB,0.85,26,21,8,580,670,570,3.7,MATH D
A,0.89,25,22,8,500,460,500,4,MATH C
A,0.94,27,27,5,520,670,480,4, 
A,0.81,26,25,5,660,790,660,4,MATH E
B,0.89,26,26,8,640,670,570,4,MATH E
BC,0.83,21,22,6,490,430,430,3.3,MATH C
B,0.68,26,25,6,630,790,570,,MATH E
F,0.32,17,20,6,340,480,250,2.3,MATH B
BC,,26,27,8,630,670,600,3.7,MATH E
A,0.98,29,30,8,560,670,600,4,MATH D
B,0.86,30,30,8,730,720,660,4,MATH E
BC,0.72,26,22,6,520,480,570,4,MATH C
A,0.93,25,26,5,570,640,480,3.7,MATH D
B,0.86,22,25,6,450,470,470,3.3,MATH B
C,0.45,25,25,8,, , ,2.3,MATH D
AB,0.91,25,25,8,530,790,520,4,MATH D
C,0.71,25,27,8,480,480,500,3.7,MATH C
AB,0.81,26,25,6,630,630,630,3,MATH E
B,0.85,23,21,8,510,520,470,3.6, 
D,,25,24,6,450,610,430,3.8,MATH C
C,0.67,24,23,8,540,600,550,2.7,MATH D
B,0.96,24,26,8,570,460,630,4,MATH D
BC,0.69,25,21,0,530,560,660,3.5,MATH D
A,0.64,24,24,8,490,670,550,4,MATH C
BC,,24,21,5,580,600,520,3.7,MATH D
BC,0.9,24,25,8,480,550,380,3.5,MATH C
AB,0.9,23,23,8,450,500,500,4,MATH B
B,,26,24,8,530,630,600,3.7,MATH D
C,0.53,21,24,6,,,,3.7, 
AB,0.47,18,21,5,510,560,380,,MATH C
C,0.59,27,27,8,610,570,820,2.7,MATH E
A,0.92,27,26,7,630,720,570,3.8,MATH E
C,0.67,24,23,7,520,510,570,4,MATH C
C,,25,22,8,530,570,590,3.6,MATH D
F,0.64,19,23,8,460,540,400,3.3,MATH B
AB,0.91,25,24,6,440,570,480,4,MATH C
B,,26,22,6,500,500,480,3.8, 
F,0.76,19,24,6,470,410,380,2,MATH B
B,,25,23,8,480,500,550,3.7,MATH C
A,,24,25,4,500,550,400,3, 
D,0.71,25,20,8,480,450,450,3.7,MATH C
B,0.71,25,20,8,480,450,450,3.7,MATH C
A,,27,25,5,500,570,520,4,MATH C
B,,23,25,8,480,480,500,,MATH C
C,,24,21,6,390,480,300,4,MATH B
C,,24,22,8,470,410,500,3.3,MATH B
C,0.31,18,22,8,420,430,180,3.5,MATH B
BC,0.64,21,18,8,, , ,3.7, 
AB,0.86,26,24,6,520,550,430,4,MATH D
C,0.7,24,23,8,470,550,400,3.7, 
F,,19,22,8,450,360,400,3.3,MATH A
BC,,26,26,8,600,670,740,3.5,MATH D
B,,25,23,5,500,520,480,4,MATH C
B,,29,25,8,640,720,520,4,MATH D
C,0.65,28,25,8,640,640,560,3.2,MATH E
BC,0.85,30,32,8,680,790,660,4,MATH E
AB,,26,26,8,630,570,630,, 
BC,0.77,26,26,8,730,600,660,3.3,MATH E
BC,0.9,26,25,8,540,720,550,4, 
BC,0.79,24,24,6,480,540,480,3.7,MATH C
B,,26,27,8,580,570,400,,MATH D
D,,21,22,8,480,460,520,3.3,MATH C
B,,27,23,6,600,670,600,3.7,MATH D
B,,24,22,8,480,600,450,2.8,MATH C
A,0.8,30,27,8,850,720,660,3, 
A,,27,27,8,680,630,700,4, 
C,0.64,23,23,8,500,480,520,3.8,MATH C
B,0.6,24,24,8,480,570,480,2.7,MATH C
BC,,24,21,6,560,460,550,3, 
C,0.79,24,22,4,500,570,570,4, 
B,0.65,25,25,8,450,600,600,3.8,MATH C
BC,0.9,18,21,8,470,420,490,3,EXPIRED
B,0.95,25,26,5,610,550,570,4,MATH E
A,,27,24,6,630,570,550,4,MATH D
BC,0.76,25,23,8,500,570,500,3.8,MATH C
BC,0.68,21,25,8,570,500,520,3.3,MATH D
D,0.65,22,25,8,420,480,520,3.3,MATH B
B,,19,25,8,440,500,480,,MATH B
C,,26,26,6,500,570,550,3.5, 
BC,,28,25,8,490,600,660,3.3,MATH C
A,0.93,28,22,8,530,600,520,3.7,MATH D
B,0.84,25,26,8,600,630,700,3.8, 
B,0.72,21,23,8,340,330,430,3.3,MATH B
BC,0.89,22,27,6,410,450,360,3,MATH B
B,0.91,28,29,8,580,720,550,4,MATH D
B,0.87,23,26,8,530,430,480,3,MATH D
C,0.58,18,19,8,390,410,250,2.7,MATH B
BC,,26,27,6,480,500,500,,MATH C
AB,0.9,24,22,5,570,600,600,4,MATH D
AB,0.88,27,25,6,530,600,480,3.5,MATH D
B,0.77,27,27,6,480,550,380,3.3,MATH C
B,0.81,20,22,7,340,410,400,3.7,MATH B
A,0.98,29,26,6,580,790,450,4,MATH D
AB,0.88,24,24,6,440,550,380,4,MATH C
C,0.49,24,22,8,470,490,410,2.8,MATH B
C,0.85,22,26,5,480,550,540,4,MATH C
C,0.83,23,28,8,350,380,420,2.6,MATH B
A,0.95,26,25,8,640,670,630,4,MATH E
BC,0.83,23,22,8,450,480,380,3.7,MATH B
A,0.86,28,26,8,580,670,550,4,MATH D
AB,0.86,25,23,6,410,520,490,3.8,MATH B
D,0.52,22,21,6,440,480,380,2.3,MATH B
A,0.65,25,23,6,500,570,480,3.8, 
AB,0.94,23,23,8,490,600,450,3.3,MATH C
A,0.94,25,26,5,600,670,700,3.7,MATH D
AB,0.87,28,26,7,530,670,700,4,MATH D
A,0.46,22,23,8,470,380,500,2.8,MATH B
B,,23,22,6,440,550,430,3.8,MATH C
B,0.68,25,22,6,630,670,660,4,MATH E
A,,28,27,8,730,720,700,4, 
A,0.98,26,23,5,540,720,520,4,MATH D
A,0.95,28,31,8,710,850,600,4,MATH E
C,,26,24,6,710,790,520,3.5, 
B,0.8,26,27,6,540,480,500,3.4,MATH D
F,0.65,25,24,8,410,480,480,2.8,MATH B
B,0.89,24,24,5,490,550,550,4,MATH C
C,0.75,18,20,5,390,520,400,2.7, 
BC,0.87,24,22,8,480,540,520,3.8,MATH C
D,0.68,25,21,8,, , ,3.8, 
B,,27,29,0,, , ,,MATH B
B,0.95,25,25,8,520,410,520,4,MATH C
AB,0.79,28,27,8,490,460,480,3.7,MATH C
BC,0.86,23,21,6,450,360,450,,MATH B
BC,0.85,26,27,8,560,570,630,3.5, 
AB,0.79,21,24,6,440,410,400,3,MATH B
B,0.88,27,27,8,450,480,340,3.8,MATH B
BC,,24,23,5,530,550,480,3.3,MATH D
B,0.81,23,23,8,520,500,520,4,MATH C
BC,0.78,24,26,5,470,500,550,3.3,MATH B
AB,0.81,24,21,4,470,600,660,,MATH C
AB,0.88,24,24,6,450,550,520,4,MATH C
A,0.98,34,32,8,810,670,660,4,MATH E
BC,0.8,24,23,8,500,500,400,4, 
A,0.98,28,26,8,,,,4,MATH B
B,0.64,26,25,8,490,570,570,3.3,MATH C
BC,0.73,23,22,5,450,460,480,4, 
D,0.94,25,24,8,480,600,500,3,MATH C
B,0.94,25,24,8,480,600,500,3,MATH C
D,0.77,23,27,6,390,460,500,3.8,MATH B
A,0.99,29,26,7,560,850,740,4,MATH D
C,,26,24,8,470,460,600,3.5,MATH B
A,0.91,25,24,8,610,720,550,4,MATH D
BC,0.76,22,24,6,440,520,340,4,MATH C
A,,25,26,8,510,530,660,4,MATH D
C,0.78,25,23,5,520,670,570,3,MATH D
A,0.98,30,27,5,640,600,660,4,MATH E
C,0.65,22,26,8,520,520,600,3.5,MATH D
A,0.98,30,32,6,630,720,700,4,MATH E
B,,25,23,8,490,550,520,3.8,MATH C
C,,25,24,0,550,600,450,3, 
B,0.72,27,24,8,450,490,320,3,MATH B
D,,27,31,6,660,690,560,3.8,MATH E
AB,0.69,27,26,6,680,720,660,4,MATH E
A,,25,24,0,470,570,550,3.7,MATH C
AB,,25,22,8,500,550,450,3.8,MATH C
B,,26,23,8,620,600,550,3.8,MATH D
A,0.98,27,29,8,450,570,600,4,MATH C
AB,,26,24,8,510,540,560,,MATH D
A,0.99,26,28,8,660,600,740,4,MATH E
BC,0.87,28,26,4,610,600,520,,MATH D
C,0.76,23,20,8,380,430,480,,MATH B
A,0.91,27,23,0,770,720,660,4,MATH E
B,0.75,25,29,8,490,520,450,3.7,MATH C
B,0.71,33,30,8,, , ,4, 
F,0.68,23,22,8,510,570,540,3.3,MATH D
C,0.68,23,22,8,510,570,540,3.3,MATH D
A,0.99,27,29,5,850,670,850,4,MATH E
AB,0.94,29,28,8,610,720,550,4,MATH D
C,,25,25,8,480,520,520,3.7,MATH C
B,,25,27,7,470,520,400,3,MATH C
BC,0.82,24,26,8,520,550,480,4, 
A,0.99,28,30,5,680,850,740,4,MATH E
BC,0.89,22,22,5,520,430,340,4,MATH C
BC,0.83,29,26,7,580,630,520,4,MATH D
AB,0.84,27,26,6,450,480,340,3.7,MATH B
B,0.71,24,25,5,420,520,400,2.5,MATH B
B,,22,25,7,450,410,480,2.7,MATH B
AB,0.91,22,23,5,490,570,540,4,MATH C
AB,0.78,27,26,5,610,630,660,3.5, 
A,,26,25,6,580,670,630,3.6,MATH D
A,0.78,25,27,4,480,600,480,2.5,MATH C
AB,,29,25,8,640,790,630,3.7,MATH E
B,0.8,26,24,6,530,460,450,3.3,MATH D
BC,0.78,26,25,8,520,550,450,3,MATH D
C,0.62,29,31,8,640,720,600,3.7,MATH E
B,0.71,25,22,8,510,600,520,4,MATH D
B,0.86,27,25,8,540,670,630,4,MATH D
A,0.64,22,21,8,, , ,, 
C,0.88,22,23,5,450,500,480,3.8,MATH B
A,0.8,25,21,5,680,550,630,4,MATH E
B,0.78,24,23,8,540,430,500,3.7,MATH D
B,0.75,24,26,6,530,670,570,4,MATH D
A,,30,32,8,810,790,850,4,MATH E
C,0.76,19,22,8,570,570,480,3,MATH C
F,0.69,23,22,5,570,670,550,3,MATH D
AB,0.9,25,27,8,560,600,500,4,MATH D
AB,,27,22,8,520,570,550,3.7,MATH D
A,0.9,27,24,8,680,550,700,4,MATH E
BC,0.79,25,27,8,570,630,520,3.8,MATH D
BC,0.64,20,25,5,410,410,380,3.3,MATH B
A,0.99,28,28,8,630,720,550,4,MATH D
B,,25,28,8,540,600,500,3,MATH D
F,0.53,24,21,5,420,500,570,3,MATH B
B,0.89,28,23,6,600,720,480,4,MATH D
C,0.71,26,24,8,680,570,700,3.5,MATH E
A,0.92,25,27,4,560,720,570,4,MATH D
B,0.91,23,22,7,600,670,570,4,MATH D
B,0.8,25,27,8,410,500,630,4, 
B,0.55,28,26,5,530,550,480,3,MATH D
A,0.66,27,27,8,540,790,600,3.8,MATH D
D,0.8,25,22,8,630,640,520,4,MATH D
